126,38,0,445
125,118,6,444
123,193,13,444
120,265,20,440
116,329,27,437
111,386,34,430
105,435,41,422
98,477,47,411
90,510,54,395
82,539,60,375
74,560,66,351
65,578,71,321
56,590,76,285
47,599,81,244
38,605,85,196
28,609,88,144
19,613,90,87
9,613,91,29
0,174,92,29
-2,175,91,87
-5,171,90,144
-8,167,88,196
-10,163,85,244
-13,155,81,285
-15,150,76,321
-18,140,71,351
-20,130,66,375
-22,120,60,395
-24,108,54,411
-25,96,47,422
-27,82,41,430
-28,70,34,437
-29,53,27,440
-30,39,20,444
-31,22,13,444
-31,8,6,445
-31,8,0,296
-31,22,-4,296
-31,39,-9,292
-30,53,-13,288
-29,70,-18,282
-28,82,-22,273
-27,96,-27,264
-25,108,-31,251
-24,120,-35,237
-22,130,-38,221
-20,140,-42,202
-18,150,-45,181
-15,155,-48,158
-13,163,-50,132
-10,167,-52,105
-8,171,-54,75
-5,175,-55,47
-2,174,-56,14
0,613,-56,14
9,613,-56,47
19,609,-55,75
28,605,-54,105
38,599,-52,132
47,590,-50,158
56,578,-48,181
65,560,-45,202
74,539,-42,221
82,510,-38,237
90,477,-35,251
98,435,-31,264
105,386,-27,273
111,329,-22,282
116,265,-18,288
120,193,-13,292
123,118,-9,296
125,38,-4,296
